0: x=325.00, y=325.00, theta=0.00
1: x=325.00, y=325.00, theta=0.00
2: x=325.00, y=275.00, theta=0.00
3: x=325.00, y=275.00, theta=0.00
4: x=375.00, y=275.00, theta=0.00
5: x=375.00, y=275.00, theta=0.00
6: x=375.00, y=225.00, theta=0.00
7: x=375.00, y=225.00, theta=0.00
8: x=375.00, y=175.00, theta=0.00
9: x=375.00, y=175.00, theta=0.00
10: x=375.00, y=125.00, theta=0.00
11: x=375.00, y=125.00, theta=0.00
12: x=325.00, y=125.00, theta=0.00
13: x=325.00, y=125.00, theta=0.00
14: x=275.00, y=125.00, theta=0.00
15: x=275.00, y=125.00, theta=0.00
16: x=225.00, y=125.00, theta=0.00
17: x=225.00, y=125.00, theta=0.00
18: x=175.00, y=125.00, theta=0.00
19: x=175.00, y=125.00, theta=0.00
20: x=175.00, y=175.00, theta=0.00
21: x=175.00, y=175.00, theta=0.00
22: x=125.00, y=175.00, theta=0.00
23: x=175.00, y=175.00, theta=0.00
24: x=175.00, y=175.00, theta=0.00
25: x=175.00, y=175.00, theta=0.00
26: x=225.00, y=175.00, theta=0.00
27: x=275.00, y=175.00, theta=0.00
28: x=275.00, y=175.00, theta=0.00
29: x=325.00, y=175.00, theta=0.00
30: x=375.00, y=175.00, theta=0.00
31: x=375.00, y=175.00, theta=0.00
32: x=375.00, y=175.00, theta=0.00
33: x=425.00, y=175.00, theta=0.00
34: x=425.00, y=125.00, theta=0.00
35: x=425.00, y=125.00, theta=0.00
36: x=475.00, y=125.00, theta=0.00
37: x=475.00, y=125.00, theta=0.00
38: x=525.00, y=125.00, theta=0.00
39: x=525.00, y=125.00, theta=0.00
40: x=575.00, y=125.00, theta=0.00
41: x=575.00, y=125.00, theta=0.00
42: x=575.00, y=175.00, theta=0.00
43: x=575.00, y=175.00, theta=0.00
44: x=525.00, y=175.00, theta=0.00
45: x=525.00, y=175.00, theta=0.00
46: x=475.00, y=175.00, theta=0.00
47: x=475.00, y=175.00, theta=0.00
48: x=475.00, y=225.00, theta=0.00
49: x=475.00, y=225.00, theta=0.00
50: x=425.00, y=225.00, theta=0.00
51: x=425.00, y=225.00, theta=0.00
52: x=425.00, y=275.00, theta=0.00
53: x=425.00, y=275.00, theta=0.00
54: x=475.00, y=275.00, theta=0.00
55: x=475.00, y=275.00, theta=0.00
56: x=525.00, y=275.00, theta=0.00
57: x=525.00, y=275.00, theta=0.00
58: x=525.00, y=225.00, theta=0.00
59: x=525.00, y=225.00, theta=0.00
60: x=575.00, y=225.00, theta=0.00
61: x=575.00, y=225.00, theta=0.00
62: x=575.00, y=275.00, theta=0.00
63: x=575.00, y=275.00, theta=0.00
64: x=575.00, y=325.00, theta=0.00
65: x=575.00, y=325.00, theta=0.00
66: x=525.00, y=325.00, theta=0.00
67: x=525.00, y=325.00, theta=0.00
68: x=475.00, y=325.00, theta=0.00
69: x=475.00, y=325.00, theta=0.00
70: x=425.00, y=325.00, theta=0.00
71: x=425.00, y=325.00, theta=0.00
72: x=375.00, y=325.00, theta=0.00
73: x=425.00, y=341.67, theta=0.00
74: x=425.00, y=341.67, theta=0.00
75: x=425.00, y=341.67, theta=0.00
76: x=475.00, y=375.00, theta=0.00
77: x=525.00, y=375.00, theta=0.00
78: x=525.00, y=375.00, theta=0.00
79: x=575.00, y=375.00, theta=0.00
80: x=575.00, y=375.00, theta=0.00
81: x=575.00, y=425.00, theta=0.00
82: x=575.00, y=425.00, theta=0.00
83: x=525.00, y=425.00, theta=0.00
84: x=525.00, y=425.00, theta=0.00
85: x=525.00, y=475.00, theta=0.00
86: x=525.00, y=475.00, theta=0.00
87: x=475.00, y=475.00, theta=0.00
88: x=475.00, y=475.00, theta=0.00
89: x=425.00, y=475.00, theta=0.00
90: x=425.00, y=475.00, theta=0.00
91: x=375.00, y=475.00, theta=0.00
92: x=375.00, y=475.00, theta=0.00
93: x=325.00, y=475.00, theta=0.00
94: x=325.00, y=475.00, theta=0.00
95: x=325.00, y=525.00, theta=0.00
96: x=325.00, y=525.00, theta=0.00
97: x=375.00, y=525.00, theta=0.00
98: x=375.00, y=525.00, theta=0.00
99: x=425.00, y=525.00, theta=0.00
100: x=425.00, y=525.00, theta=0.00
101: x=475.00, y=525.00, theta=0.00
102: x=475.00, y=525.00, theta=0.00
103: x=525.00, y=525.00, theta=0.00
104: x=525.00, y=525.00, theta=0.00
105: x=575.00, y=525.00, theta=0.00
106: x=575.00, y=525.00, theta=0.00
107: x=575.00, y=475.00, theta=0.00
108: x=575.00, y=525.00, theta=0.00
109: x=575.00, y=525.00, theta=0.00
110: x=575.00, y=525.00, theta=0.00
111: x=575.00, y=575.00, theta=0.00
112: x=525.00, y=575.00, theta=0.00
113: x=525.00, y=575.00, theta=0.00
114: x=475.00, y=575.00, theta=0.00
115: x=475.00, y=575.00, theta=0.00
116: x=425.00, y=575.00, theta=0.00
117: x=425.00, y=575.00, theta=0.00
118: x=375.00, y=575.00, theta=0.00
119: x=375.00, y=575.00, theta=0.00
120: x=325.00, y=575.00, theta=0.00
